date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,3,1
2020-03-13,3,1
2020-03-14,3,1
2020-03-15,3,1
2020-03-16,5,1
2020-03-17,14,1
2020-03-18,18,1
2020-03-19,21,1
2020-03-20,32,1
2020-03-21,51,1
2020-03-22,51,1
2020-03-23,66,3
2020-03-24,85,4
2020-03-25,108,4
2020-03-26,136,5
2020-03-27,148,7
2020-03-28,159,8
2020-03-29,174,9
2020-03-30,185,10
2020-03-31,205,12
2020-04-01,239,14
2020-04-02,239,14
2020-04-03,239,15
2020-04-04,295,16
2020-04-05,295,17
2020-04-06,339,20
2020-04-07,339,21
2020-04-08,362,21
2020-04-09,371,21
