date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,5,0
2020-03-04,5,0
2020-03-05,5,0
2020-03-06,9,0
2020-03-07,9,0
2020-03-08,14,0
2020-03-09,14,0
2020-03-10,17,0
2020-03-11,21,0
2020-03-12,27,0
2020-03-13,37,0
2020-03-14,65,0
2020-03-15,65,0
2020-03-16,79,0
2020-03-17,160,0
2020-03-18,205,0
2020-03-19,342,0
2020-03-20,434,0
2020-03-21,434,1
2020-03-22,434,1
2020-03-23,632,1
2020-03-24,746,1
2020-03-25,922,2
2020-03-26,1142,3
2020-03-27,1306,4
2020-03-28,1610,5
2020-03-29,1909,6
2020-03-30,1909,6
2020-03-31,2449,8
2020-04-01,2738,12
2020-04-02,3031,16
2020-04-03,3404,18
2020-04-04,3737,22
2020-04-05,4161,27
2020-04-06,4471,34
2020-04-07,4815,37
