date,cases,deaths
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0.0,
2020-03-07,0.0,
2020-03-08,0.0,0.0
2020-03-09,0.0,0.0
2020-03-10,0.0,0.0
2020-03-11,1.0,0.0
2020-03-12,4.0,0.0
2020-03-13,4.0,0.0
2020-03-14,6.0,0.0
2020-03-15,6.0,0.0
2020-03-16,8.0,0.0
2020-03-17,16.0,0.0
2020-03-18,25.0,0.0
2020-03-19,30.0,0.0
2020-03-20,38.0,0.0
2020-03-21,45.0,0.0
2020-03-22,56.0,0.0
2020-03-23,68.0,0.0
2020-03-24,91.0,1.0
2020-03-25,115.0,2.0
2020-03-26,130.0,3.0
2020-03-27,163.0,5.0
2020-03-28,214.0,9.0
2020-03-29,232.0,10.0
2020-03-30,264.0,11.0
2020-03-31,319.0,12.0
2020-04-01,368.0,13.0
2020-04-02,393.0,16.0
2020-04-03,450.0,17.0
2020-04-04,593.0,17.0
2020-04-05,673.0,19.0
2020-04-06,673.0,24.0
2020-04-07,928.0,28.0
2020-04-08,928.0,32.0
2020-04-09,1207.0,34.0
2020-04-10,1326.0,36.0
2020-04-11,1479.0,43.0
2020-04-12,1479.0,48.0
2020-04-13,1625.0,53.0
2020-04-14,1761.0,60.0
2020-04-15,2014.0,67.0
