date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,1,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,1,0
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,3,0
2020-03-15,7,0
2020-03-16,9,0
2020-03-17,9,0
2020-03-18,9,0
2020-03-19,9,0
2020-03-20,12,0
2020-03-21,18,0
2020-03-22,18,0
2020-03-23,20,0
2020-03-24,22,0
2020-03-25,23,0
2020-03-26,23,0
2020-03-27,26,0
2020-03-28,32,0
2020-03-29,33,0
2020-03-30,35,0
2020-03-31,36,0
2020-04-01,37,0
2020-04-02,40,0
2020-04-03,43,0
2020-04-04,47,0
2020-04-05,48,0
2020-04-06,51,0
2020-04-07,52,0
2020-04-08,54,0
2020-04-09,54,0
